Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,239.500000,240.490005,233.339996,235.440002,228.206131,21251400
2021-12-20,232.100006,241.360001,230.070007,240.669998,233.275436,16126600
2021-12-27,240.479996,243.779999,240.339996,241.440002,234.021790,19401700
2022-01-03,242.419998,244.059998,235.320007,236.110001,229.675293,21398700
2022-01-10,234.210007,239.850006,230.970001,235.020004,228.615021,21256700
2022-01-17,232.500000,232.699997,220.830002,220.910004,214.889542,25137400
2022-01-24,217.990005,224.160004,212.100006,222.089996,216.037384,46451500
2022-01-31,222.089996,230.440002,221.220001,226.070007,219.908905,21855200
2022-02-07,226.479996,231.809998,222.009995,222.940002,216.864227,17882500
2022-02-14,222.520004,226.880005,218.210007,219.369995,213.391495,26413200
2022-02-21,218.110001,221.440002,207.000000,221.410004,215.375931,30519500
2022-02-28,219.250000,223.089996,215.850006,217.960007,212.019943,21549500
2022-03-07,217.679993,217.919998,209.279999,211.990005,206.212646,29426300
2022-03-14,212.279999,225.449997,209.270004,225.179993,219.043152,27633900
2022-03-21,225.440002,228.250000,223.070007,228.089996,221.873871,14993100
2022-03-28,228.029999,233.360001,226.479996,228.580002,223.043930,22249700
2022-04-04,228.860001,230.880005,222.639999,224.690002,219.248154,17934200
2022-04-11,223.169998,224.500000,219.740005,220.669998,215.325500,10976500
2022-04-18,220.410004,226.679993,214.020004,214.220001,209.031723,18772300
2022-04-25,213.070007,215.750000,206.710007,206.880005,201.869492,32217000
2022-05-02,207.149994,215.910004,203.110001,205.949997,200.962021,28783500
2022-05-09,203.000000,203.380005,192.119995,200.899994,196.034332,36030000
2022-05-16,200.389999,204.259995,190.660004,195.320007,190.589508,24010300
2022-05-23,196.649994,208.089996,193.320007,208.070007,203.030685,23326400
2022-05-30,207.169998,209.199997,203.460007,205.839996,200.854691,12860600
2022-06-06,208.119995,208.880005,195.360001,195.429993,190.696808,17048100
2022-06-13,190.649994,192.130005,181.669998,183.710007,179.260666,36003700
2022-06-20,186.690002,195.220001,185.619995,195.190002,190.462616,23956900
2022-06-27,195.630005,196.850006,186.130005,190.610001,186.737000,23592300
2022-07-04,188.360001,195.699997,186.360001,194.630005,190.675323,12685600
